"PM10","AQI","temp","Latitude","Longitude","windspeed","state","county","City.Name"
43,40,76.6,36.78538,-119.77321,2.05,"California","Fresno","Fresno"
44,41,80.683333,36.78538,-119.77321,2.470833,"California","Fresno","Fresno"
38,35,75.929167,36.78538,-119.77321,6.2375,"California","Fresno","Fresno"
38,35,68.829167,36.78538,-119.77321,5.033333,"California","Fresno","Fresno"
39,36,70.5625,36.78538,-119.77321,2.9125,"California","Fresno","Fresno"
31,29,72.8,36.78538,-119.77321,3.145833,"California","Fresno","Fresno"
34,31,75.2625,36.78538,-119.77321,3.4375,"California","Fresno","Fresno"
35,32,78.825,36.78538,-119.77321,2.9,"California","Fresno","Fresno"
35,32,80.779167,36.78538,-119.77321,2.904167,"California","Fresno","Fresno"
42,39,79.558333,36.78538,-119.77321,3.4625,"California","Fresno","Fresno"
39,36,76.154167,36.78538,-119.77321,3.270833,"California","Fresno","Fresno"
24,22,64.875,36.78538,-119.77321,5.016667,"California","Fresno","Fresno"
19,18,67.645833,36.78538,-119.77321,2.35,"California","Fresno","Fresno"
32,30,70.652174,36.78538,-119.77321,3.833333,"California","Fresno","Fresno"
36,33,71.6875,36.78538,-119.77321,4.725,"California","Fresno","Fresno"
50,46,67.7,36.78538,-119.77321,5.591667,"California","Fresno","Fresno"
48,44,60.4,36.78538,-119.77321,7.591667,"California","Fresno","Fresno"
32,30,61.025,36.78538,-119.77321,4.404167,"California","Fresno","Fresno"
23,21,64.379167,36.78538,-119.77321,3.066667,"California","Fresno","Fresno"
19,18,68.691667,36.78538,-119.77321,3.333333,"California","Fresno","Fresno"
32,30,74.1,36.78538,-119.77321,3.470833,"California","Fresno","Fresno"
24,22,74.520833,36.78538,-119.77321,6.245833,"California","Fresno","Fresno"
27,25,74.329167,36.78538,-119.77321,4.1625,"California","Fresno","Fresno"
31,29,74.295833,36.78538,-119.77321,4.716667,"California","Fresno","Fresno"
24,22,75.2125,36.78538,-119.77321,3.75,"California","Fresno","Fresno"
31,29,74.25,36.78538,-119.77321,4.383333,"California","Fresno","Fresno"
32,30,77.1125,36.78538,-119.77321,2.904167,"California","Fresno","Fresno"
43,40,86.954167,36.78538,-119.77321,2.5875,"California","Fresno","Fresno"
46,43,88.7125,36.78538,-119.77321,3.479167,"California","Fresno","Fresno"
41,38,87.704167,36.78538,-119.77321,3.375,"California","Fresno","Fresno"
35,32,85.575,36.78538,-119.77321,3.6,"California","Fresno","Fresno"
29,27,85.1375,36.78538,-119.77321,4.220833,"California","Fresno","Fresno"
34,31,82.633333,36.78538,-119.77321,3.3,"California","Fresno","Fresno"
34,31,79.75,36.78538,-119.77321,3.554167,"California","Fresno","Fresno"
44,41,70.770833,36.78538,-119.77321,4.9125,"California","Fresno","Fresno"
27,25,65.9875,36.78538,-119.77321,4.9375,"California","Fresno","Fresno"
31,29,64.45,36.78538,-119.77321,5.766667,"California","Fresno","Fresno"
22,20,65.4,36.78538,-119.77321,5.4125,"California","Fresno","Fresno"
22,20,70.245833,36.78538,-119.77321,5.1375,"California","Fresno","Fresno"
18,17,76.333333,36.78538,-119.77321,3.916667,"California","Fresno","Fresno"
20,19,80.5625,36.78538,-119.77321,4.866667,"California","Fresno","Fresno"
23,21,77.3875,36.78538,-119.77321,5.425,"California","Fresno","Fresno"
33,31,76.883333,36.78538,-119.77321,5.558333,"California","Fresno","Fresno"
45,42,80.220833,36.78538,-119.77321,2.670833,"California","Fresno","Fresno"
49,45,87.358333,36.78538,-119.77321,1.620833,"California","Fresno","Fresno"
71,59,94.891667,36.78538,-119.77321,2.645833,"California","Fresno","Fresno"
33,31,80.15,36.78538,-119.77321,3.170833,"California","Fresno","Fresno"
28,26,79.325,36.78538,-119.77321,3.716667,"California","Fresno","Fresno"
29,27,77.820833,36.78538,-119.77321,4.566667,"California","Fresno","Fresno"
27,25,79.816667,36.78538,-119.77321,3.929167,"California","Fresno","Fresno"
27,25,85.8125,36.78538,-119.77321,3.083333,"California","Fresno","Fresno"
36,33,90.958333,36.78538,-119.77321,3.4125,"California","Fresno","Fresno"
38,35,85.695833,36.78538,-119.77321,5.35,"California","Fresno","Fresno"
32,30,88.0625,36.78538,-119.77321,3.5875,"California","Fresno","Fresno"
47,44,88.629167,36.78538,-119.77321,3.691667,"California","Fresno","Fresno"
39,36,85.320833,36.78538,-119.77321,3.241667,"California","Fresno","Fresno"
41,38,85.445833,36.78538,-119.77321,3.845833,"California","Fresno","Fresno"
34,31,84.766667,36.78538,-119.77321,3.3625,"California","Fresno","Fresno"
37,34,84.6875,36.78538,-119.77321,3.175,"California","Fresno","Fresno"
40,37,83.2,36.78538,-119.77321,3.533333,"California","Fresno","Fresno"
39,36,83.045833,36.78538,-119.77321,5.1125,"California","Fresno","Fresno"
36,33,83.458333,36.78538,-119.77321,3.908333,"California","Fresno","Fresno"
41,38,89.333333,36.78538,-119.77321,3.195833,"California","Fresno","Fresno"
45,42,94.945833,36.78538,-119.77321,3.7625,"California","Fresno","Fresno"
34,31,96.145833,36.78538,-119.77321,3.8625,"California","Fresno","Fresno"
25,23,96.079167,36.78538,-119.77321,3.858333,"California","Fresno","Fresno"
40,37,91.320833,36.78538,-119.77321,3.566667,"California","Fresno","Fresno"
51,47,87.766667,36.78538,-119.77321,3.045833,"California","Fresno","Fresno"
46,43,84.3125,36.78538,-119.77321,3,"California","Fresno","Fresno"
38,35,84.270833,36.78538,-119.77321,3.841667,"California","Fresno","Fresno"
33,31,82.541667,36.78538,-119.77321,3.5875,"California","Fresno","Fresno"
36,33,86.279167,36.78538,-119.77321,3.045833,"California","Fresno","Fresno"
38,35,87.191667,36.78538,-119.77321,2.25,"California","Fresno","Fresno"
44,41,90.183333,36.78538,-119.77321,2.945833,"California","Fresno","Fresno"
40,37,87.879167,36.78538,-119.77321,4.025,"California","Fresno","Fresno"
29,27,85.079167,36.78538,-119.77321,3.8625,"California","Fresno","Fresno"
37,34,86.9375,36.78538,-119.77321,3.720833,"California","Fresno","Fresno"
39,36,86.879167,36.78538,-119.77321,2.704167,"California","Fresno","Fresno"
40,37,87.4375,36.78538,-119.77321,3.3125,"California","Fresno","Fresno"
30,28,87.408333,36.78538,-119.77321,3.929167,"California","Fresno","Fresno"
42,39,86.0125,36.78538,-119.77321,2.15,"California","Fresno","Fresno"
50,46,88.225,36.78538,-119.77321,3.529167,"California","Fresno","Fresno"
54,50,86.566667,36.78538,-119.77321,3.370833,"California","Fresno","Fresno"
45,42,89.775,36.78538,-119.77321,3.354167,"California","Fresno","Fresno"
45,42,91.816667,36.78538,-119.77321,3.4,"California","Fresno","Fresno"
38,35,89.033333,36.78538,-119.77321,2.8875,"California","Fresno","Fresno"
29,27,87.895833,36.78538,-119.77321,2.570833,"California","Fresno","Fresno"
45,42,83.2125,36.78538,-119.77321,3.808333,"California","Fresno","Fresno"
54,50,86.175,36.78538,-119.77321,3.3625,"California","Fresno","Fresno"
53,49,87.966667,36.78538,-119.77321,3.966667,"California","Fresno","Fresno"
38,35,82.441667,36.78538,-119.77321,4.945833,"California","Fresno","Fresno"
43,40,80.7875,36.78538,-119.77321,3,"California","Fresno","Fresno"
82,64,83.779167,36.78538,-119.77321,2.391667,"California","Fresno","Fresno"
61,54,84.8,36.78538,-119.77321,2.983333,"California","Fresno","Fresno"
52,48,85.9375,36.78538,-119.77321,2.841667,"California","Fresno","Fresno"
56,51,87.620833,36.78538,-119.77321,2.954167,"California","Fresno","Fresno"
53,49,89.454167,36.78538,-119.77321,3.408333,"California","Fresno","Fresno"
47,44,89.3,36.78538,-119.77321,4.075,"California","Fresno","Fresno"
56,51,87.575,36.78538,-119.77321,3.716667,"California","Fresno","Fresno"
64,55,87.35,36.78538,-119.77321,2.254167,"California","Fresno","Fresno"
52,48,89.65,36.78538,-119.77321,2.654167,"California","Fresno","Fresno"
83,65,89.866667,36.78538,-119.77321,2.625,"California","Fresno","Fresno"
47,44,86.645833,36.78538,-119.77321,3.420833,"California","Fresno","Fresno"
116,81,76.295833,36.78538,-119.77321,3.7875,"California","Fresno","Fresno"
127,87,74.183333,36.78538,-119.77321,2.341667,"California","Fresno","Fresno"
130,88,78.079167,36.78538,-119.77321,1.6375,"California","Fresno","Fresno"
91,69,75.825,36.78538,-119.77321,4.333333,"California","Fresno","Fresno"
42,39,75.229167,36.78538,-119.77321,2.747826,"California","Fresno","Fresno"
59,53,78.65,36.78538,-119.77321,2.954167,"California","Fresno","Fresno"
75,61,79.354167,36.78538,-119.77321,2.929167,"California","Fresno","Fresno"
78,62,79.604167,36.78538,-119.77321,2.854167,"California","Fresno","Fresno"
65,56,81.154167,36.78538,-119.77321,3.116667,"California","Fresno","Fresno"
110,78,81.470833,36.78538,-119.77321,2.004167,"California","Fresno","Fresno"
126,86,86.183333,36.78538,-119.77321,2.095833,"California","Fresno","Fresno"
99,73,87.429167,36.78538,-119.77321,2.254167,"California","Fresno","Fresno"
92,69,88.391667,36.78538,-119.77321,2.783333,"California","Fresno","Fresno"
86,66,85.754167,36.78538,-119.77321,3.341667,"California","Fresno","Fresno"
56,51,77.308333,36.78538,-119.77321,3.0125,"California","Fresno","Fresno"
71,59,74.0625,36.78538,-119.77321,2.854167,"California","Fresno","Fresno"
75,61,76.495833,36.78538,-119.77321,2.4,"California","Fresno","Fresno"
71,59,80.333333,36.78538,-119.77321,2.320833,"California","Fresno","Fresno"
60,53,82.625,36.78538,-119.77321,2.0375,"California","Fresno","Fresno"
69,58,86.304167,36.78538,-119.77321,2.3125,"California","Fresno","Fresno"
112,79,88.066667,36.78538,-119.77321,3.716667,"California","Fresno","Fresno"
94,70,86.925,36.78538,-119.77321,1.904167,"California","Fresno","Fresno"
69,58,89.229167,36.78538,-119.77321,2.125,"California","Fresno","Fresno"
64,55,84.7625,36.78538,-119.77321,4.4875,"California","Fresno","Fresno"
36,33,81.941667,36.78538,-119.77321,3.375,"California","Fresno","Fresno"
34,31,82.825,36.78538,-119.77321,2.925,"California","Fresno","Fresno"
47,44,82.695833,36.78538,-119.77321,1.808333,"California","Fresno","Fresno"
64,55,83.583333,36.78538,-119.77321,2,"California","Fresno","Fresno"
78,62,81.241667,36.78538,-119.77321,2.883333,"California","Fresno","Fresno"
80,63,77.166667,36.78538,-119.77321,2.870833,"California","Fresno","Fresno"
80,63,75.741667,36.78538,-119.77321,2.095833,"California","Fresno","Fresno"
63,55,72.620833,36.78538,-119.77321,4.2875,"California","Fresno","Fresno"
35,32,70.679167,36.78538,-119.77321,5.195833,"California","Fresno","Fresno"
51,47,72.570833,36.78538,-119.77321,1.65,"California","Fresno","Fresno"
91,69,77.175,36.78538,-119.77321,1.570833,"California","Fresno","Fresno"
110,78,80.391667,36.78538,-119.77321,2.558333,"California","Fresno","Fresno"
93,70,79.316667,36.78538,-119.77321,1.441667,"California","Fresno","Fresno"
108,77,79.195833,36.78538,-119.77321,1.175,"California","Fresno","Fresno"
137,92,78.4375,36.78538,-119.77321,1.445833,"California","Fresno","Fresno"
52,48,73.608333,36.78538,-119.77321,2.35,"California","Fresno","Fresno"
56,51,71.195833,36.78538,-119.77321,4.4375,"California","Fresno","Fresno"
107,77,67.004167,36.78538,-119.77321,5.091667,"California","Fresno","Fresno"
57,52,66.966667,36.78538,-119.77321,1.3,"California","Fresno","Fresno"
86,66,70.270833,36.78538,-119.77321,1.375,"California","Fresno","Fresno"
104,75,73.1375,36.78538,-119.77321,1.2875,"California","Fresno","Fresno"
104,75,73.654167,36.78538,-119.77321,1.4625,"California","Fresno","Fresno"
142,94,70.479167,36.78538,-119.77321,1.616667,"California","Fresno","Fresno"
