"PM10","AQI","temp","Latitude","Longitude","windspeed","state","county","City.Name","type_of_day","type_of_day01"
49,45,73.316667,35.356615,-119.062613,2.725,"California","Kern","Bakersfield","Healthy air quality",1
47,44,77.654167,35.356615,-119.062613,2.0125,"California","Kern","Bakersfield","Healthy air quality",1
48,44,82.579167,35.356615,-119.062613,3.125,"California","Kern","Bakersfield","Healthy air quality",1
45,42,79.729167,35.356615,-119.062613,3.666667,"California","Kern","Bakersfield","Healthy air quality",1
40,37,71.625,35.356615,-119.062613,3.783333,"California","Kern","Bakersfield","Healthy air quality",1
40,37,71.991667,35.356615,-119.062613,2.1125,"California","Kern","Bakersfield","Healthy air quality",1
40,37,74.479167,35.356615,-119.062613,3.15,"California","Kern","Bakersfield","Healthy air quality",1
43,40,76.270833,35.356615,-119.062613,2.3375,"California","Kern","Bakersfield","Healthy air quality",1
59,53,80.191667,35.356615,-119.062613,2.783333,"California","Kern","Bakersfield","Unhealthy air quality",0
48,44,82.766667,35.356615,-119.062613,2.679167,"California","Kern","Bakersfield","Healthy air quality",1
49,45,81.558333,35.356615,-119.062613,2.920833,"California","Kern","Bakersfield","Healthy air quality",1
44,41,79.277273,35.356615,-119.062613,3.008333,"California","Kern","Bakersfield","Healthy air quality",1
29,27,69.533333,35.356615,-119.062613,4.9,"California","Kern","Bakersfield","Healthy air quality",1
14,13,68.329167,35.356615,-119.062613,3.0375,"California","Kern","Bakersfield","Healthy air quality",1
29,27,74.179167,35.356615,-119.062613,3.316667,"California","Kern","Bakersfield","Healthy air quality",1
39,36,74.166667,35.356615,-119.062613,3.05,"California","Kern","Bakersfield","Healthy air quality",1
44,41,72.4625,35.356615,-119.062613,3.983333,"California","Kern","Bakersfield","Healthy air quality",1
72,59,62.658333,35.356615,-119.062613,5.075,"California","Kern","Bakersfield","Unhealthy air quality",0
24,22,62.1,35.356615,-119.062613,3.820833,"California","Kern","Bakersfield","Healthy air quality",1
23,21,65.125,35.356615,-119.062613,3.229167,"California","Kern","Bakersfield","Healthy air quality",1
20,19,70.308333,35.356615,-119.062613,2.579167,"California","Kern","Bakersfield","Healthy air quality",1
42,39,73.666667,35.356615,-119.062613,2.25,"California","Kern","Bakersfield","Healthy air quality",1
37,34,76.120833,35.356615,-119.062613,3.0375,"California","Kern","Bakersfield","Healthy air quality",1
39,36,76.266667,35.356615,-119.062613,2.870833,"California","Kern","Bakersfield","Healthy air quality",1
39,36,77.083333,35.356615,-119.062613,3.0875,"California","Kern","Bakersfield","Healthy air quality",1
38,35,77.220833,35.356615,-119.062613,2.108333,"California","Kern","Bakersfield","Healthy air quality",1
26,24,77.75,35.356615,-119.062613,3.370833,"California","Kern","Bakersfield","Healthy air quality",1
31,29,79.720833,35.356615,-119.062613,2.254167,"California","Kern","Bakersfield","Healthy air quality",1
44,41,88.154167,35.356615,-119.062613,2.695833,"California","Kern","Bakersfield","Healthy air quality",1
46,43,89.6875,35.356615,-119.062613,2.658333,"California","Kern","Bakersfield","Healthy air quality",1
47,44,88.770833,35.356615,-119.062613,3.008333,"California","Kern","Bakersfield","Healthy air quality",1
31,29,87.208333,35.356615,-119.062613,3.183333,"California","Kern","Bakersfield","Healthy air quality",1
36,33,82.945833,35.356615,-119.062613,3.520833,"California","Kern","Bakersfield","Healthy air quality",1
34,31,74.854167,35.356615,-119.062613,3.879167,"California","Kern","Bakersfield","Healthy air quality",1
30,28,68.795833,35.356615,-119.062613,3.541667,"California","Kern","Bakersfield","Healthy air quality",1
47,44,66.545833,35.356615,-119.062613,4.3,"California","Kern","Bakersfield","Healthy air quality",1
25,23,65.708333,35.356615,-119.062613,3.141667,"California","Kern","Bakersfield","Healthy air quality",1
43,40,70.195833,35.356615,-119.062613,2.008333,"California","Kern","Bakersfield","Healthy air quality",1
36,33,75.783333,35.356615,-119.062613,1.9125,"California","Kern","Bakersfield","Healthy air quality",1
