SiteLocDate,pm.scale,avgpm,AQI,wind.scale,avgtemp,County.Code,Latitude,Longitude,temp.scale,avgwind,state,county,City.Name
232.2021-04-12,Micrograms/cubic meter (25 C),43,40,Degrees Fahrenheit,70.783333,29,35.438035,-119.016787,Knots,2.995833,California,Kern,Oildale
232.2021-04-13,Micrograms/cubic meter (25 C),58,52,Degrees Fahrenheit,67.341667,29,35.438035,-119.016787,Knots,4.166667,California,Kern,Oildale
232.2021-04-14,Micrograms/cubic meter (25 C),38,35,Degrees Fahrenheit,58.716667,29,35.438035,-119.016787,Knots,4.741667,California,Kern,Oildale
232.2021-04-15,Micrograms/cubic meter (25 C),50,46,Degrees Fahrenheit,63.008333,29,35.438035,-119.016787,Knots,2.433333,California,Kern,Oildale
232.2021-04-16,Micrograms/cubic meter (25 C),45,42,Degrees Fahrenheit,65.233333,29,35.438035,-119.016787,Knots,2.65,California,Kern,Oildale
232.2021-04-17,Micrograms/cubic meter (25 C),43,40,Degrees Fahrenheit,70.045833,29,35.438035,-119.016787,Knots,3.854167,California,Kern,Oildale
232.2021-04-18,Micrograms/cubic meter (25 C),32,30,Degrees Fahrenheit,72.9375,29,35.438035,-119.016787,Knots,3.125,California,Kern,Oildale
232.2021-04-19,Micrograms/cubic meter (25 C),47,44,Degrees Fahrenheit,75.320833,29,35.438035,-119.016787,Knots,3.404167,California,Kern,Oildale
232.2021-04-20,Micrograms/cubic meter (25 C),48,44,Degrees Fahrenheit,72.120833,29,35.438035,-119.016787,Knots,3.575,California,Kern,Oildale
232.2021-04-21,Micrograms/cubic meter (25 C),32,30,Degrees Fahrenheit,62.479167,29,35.438035,-119.016787,Knots,3.158333,California,Kern,Oildale
232.2021-04-22,Micrograms/cubic meter (25 C),46,43,Degrees Fahrenheit,67.720833,29,35.438035,-119.016787,Knots,3.4875,California,Kern,Oildale
232.2021-04-23,Micrograms/cubic meter (25 C),35,32,Degrees Fahrenheit,66.4,29,35.438035,-119.016787,Knots,3.341667,California,Kern,Oildale
232.2021-04-24,Micrograms/cubic meter (25 C),25,23,Degrees Fahrenheit,65.025,29,35.438035,-119.016787,Knots,3.983333,California,Kern,Oildale
232.2021-04-25,Micrograms/cubic meter (25 C),9,8,Degrees Fahrenheit,57.533333,29,35.438035,-119.016787,Knots,3.154167,California,Kern,Oildale
232.2021-04-26,Micrograms/cubic meter (25 C),5,5,Degrees Fahrenheit,56.075,29,35.438035,-119.016787,Knots,3.025,California,Kern,Oildale
232.2021-04-27,Micrograms/cubic meter (25 C),16,15,Degrees Fahrenheit,60.133333,29,35.438035,-119.016787,Knots,3.670833,California,Kern,Oildale
232.2021-04-28,Micrograms/cubic meter (25 C),23,21,Degrees Fahrenheit,68.866667,29,35.438035,-119.016787,Knots,2.654167,California,Kern,Oildale
232.2021-04-29,Micrograms/cubic meter (25 C),35,32,Degrees Fahrenheit,77.016667,29,35.438035,-119.016787,Knots,2.920833,California,Kern,Oildale
232.2021-04-30,Micrograms/cubic meter (25 C),53,49,Degrees Fahrenheit,79.495833,29,35.438035,-119.016787,Knots,2.770833,California,Kern,Oildale
232.2021-05-01,Micrograms/cubic meter (25 C),40,37,Degrees Fahrenheit,73.916667,29,35.438035,-119.016787,Knots,4.425,California,Kern,Oildale
232.2021-05-02,Micrograms/cubic meter (25 C),40,37,Degrees Fahrenheit,68.370833,29,35.438035,-119.016787,Knots,4.245833,California,Kern,Oildale
232.2021-05-03,Micrograms/cubic meter (25 C),45,42,Degrees Fahrenheit,69.915385,29,35.438035,-119.016787,Knots,2.153846,California,Kern,Oildale
232.2021-05-04,Micrograms/cubic meter (25 C),50,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.2021-05-05,Micrograms/cubic meter (25 C),45,42,Degrees Fahrenheit,87.841176,29,35.438035,-119.016787,Knots,5.088235,California,Kern,Oildale
232.2021-05-06,Micrograms/cubic meter (25 C),45,42,Degrees Fahrenheit,79.7125,29,35.438035,-119.016787,Knots,3.85,California,Kern,Oildale
232.2021-05-07,Micrograms/cubic meter (25 C),41,38,Degrees Fahrenheit,71.0625,29,35.438035,-119.016787,Knots,4.104167,California,Kern,Oildale
232.2021-05-08,Micrograms/cubic meter (25 C),44,41,Degrees Fahrenheit,71.925,29,35.438035,-119.016787,Knots,1.975,California,Kern,Oildale
232.2021-05-09,Micrograms/cubic meter (25 C),35,32,Degrees Fahrenheit,75.283333,29,35.438035,-119.016787,Knots,3.320833,California,Kern,Oildale
232.2021-05-10,Micrograms/cubic meter (25 C),42,39,Degrees Fahrenheit,76.541667,29,35.438035,-119.016787,Knots,2.516667,California,Kern,Oildale
232.2021-05-11,Micrograms/cubic meter (25 C),54,50,Degrees Fahrenheit,80.8875,29,35.438035,-119.016787,Knots,3.345833,California,Kern,Oildale
232.2021-05-12,Micrograms/cubic meter (25 C),50,46,Degrees Fahrenheit,83.370833,29,35.438035,-119.016787,Knots,3.258333,California,Kern,Oildale
232.2021-05-13,Micrograms/cubic meter (25 C),49,45,Degrees Fahrenheit,81.3,29,35.438035,-119.016787,Knots,3.141667,California,Kern,Oildale
232.2021-05-14,Micrograms/cubic meter (25 C),48,44,Degrees Fahrenheit,80.1125,29,35.438035,-119.016787,Knots,3.1125,California,Kern,Oildale
232.2021-05-15,Micrograms/cubic meter (25 C),35,32,Degrees Fahrenheit,68.970833,29,35.438035,-119.016787,Knots,5.008333,California,Kern,Oildale
232.2021-05-16,Micrograms/cubic meter (25 C),18,17,Degrees Fahrenheit,67.533333,29,35.438035,-119.016787,Knots,3.916667,California,Kern,Oildale
232.2021-05-17,Micrograms/cubic meter (25 C),31,29,Degrees Fahrenheit,73.370833,29,35.438035,-119.016787,Knots,3.733333,California,Kern,Oildale
232.2021-05-18,Micrograms/cubic meter (25 C),50,46,Degrees Fahrenheit,73.645833,29,35.438035,-119.016787,Knots,3.429167,California,Kern,Oildale
232.2021-05-19,Micrograms/cubic meter (25 C),55,51,Degrees Fahrenheit,71.804167,29,35.438035,-119.016787,Knots,4.95,California,Kern,Oildale
232.2021-05-20,Micrograms/cubic meter (25 C),85,66,Degrees Fahrenheit,61.604167,29,35.438035,-119.016787,Knots,5.616667,California,Kern,Oildale
232.2021-05-21,Micrograms/cubic meter (25 C),28,26,Degrees Fahrenheit,61.408333,29,35.438035,-119.016787,Knots,3.7125,California,Kern,Oildale
232.2021-05-22,Micrograms/cubic meter (25 C),22,20,Degrees Fahrenheit,64.504167,29,35.438035,-119.016787,Knots,3.725,California,Kern,Oildale
232.2021-05-23,Micrograms/cubic meter (25 C),20,19,Degrees Fahrenheit,69.8125,29,35.438035,-119.016787,Knots,3.125,California,Kern,Oildale
232.2021-05-24,Micrograms/cubic meter (25 C),42,39,Degrees Fahrenheit,73.829167,29,35.438035,-119.016787,Knots,3.079167,California,Kern,Oildale
232.2021-05-25,Micrograms/cubic meter (25 C),42,39,Degrees Fahrenheit,76.020833,29,35.438035,-119.016787,Knots,3.0375,California,Kern,Oildale
232.2021-05-26,Micrograms/cubic meter (25 C),47,44,Degrees Fahrenheit,75.545833,29,35.438035,-119.016787,Knots,3.058333,California,Kern,Oildale
232.2021-05-27,Micrograms/cubic meter (25 C),49,45,Degrees Fahrenheit,77.179167,29,35.438035,-119.016787,Knots,3.654167,California,Kern,Oildale
232.2021-06-03,Micrograms/cubic meter (25 C),54,50,Degrees Fahrenheit,89.354167,29,35.438035,-119.016787,Knots,3.3375,California,Kern,Oildale
232.2021-06-04,Micrograms/cubic meter (25 C),52,48,Degrees Fahrenheit,89.104167,29,35.438035,-119.016787,Knots,3.779167,California,Kern,Oildale
232.2021-06-05,Micrograms/cubic meter (25 C),41,38,Degrees Fahrenheit,87.054167,29,35.438035,-119.016787,Knots,4.0625,California,Kern,Oildale
232.2021-06-06,Micrograms/cubic meter (25 C),37,34,Degrees Fahrenheit,82.691667,29,35.438035,-119.016787,Knots,3.983333,California,Kern,Oildale
232.2021-06-07,Micrograms/cubic meter (25 C),42,39,Degrees Fahrenheit,73.654167,29,35.438035,-119.016787,Knots,4.529167,California,Kern,Oildale
232.2021-06-08,Micrograms/cubic meter (25 C),31,29,Degrees Fahrenheit,67.979167,29,35.438035,-119.016787,Knots,4.4875,California,Kern,Oildale
232.2021-06-09,Micrograms/cubic meter (25 C),56,51,Degrees Fahrenheit,65.954167,29,35.438035,-119.016787,Knots,3.866667,California,Kern,Oildale
232.2021-06-10,Micrograms/cubic meter (25 C),40,37,Degrees Fahrenheit,65.0625,29,35.438035,-119.016787,Knots,2.691667,California,Kern,Oildale
232.2021-06-11,Micrograms/cubic meter (25 C),58,52,Degrees Fahrenheit,69.945833,29,35.438035,-119.016787,Knots,2.233333,California,Kern,Oildale
232.2021-06-12,Micrograms/cubic meter (25 C),40,37,Degrees Fahrenheit,75.4875,29,35.438035,-119.016787,Knots,2.0125,California,Kern,Oildale
232.2021-06-13,Micrograms/cubic meter (25 C),34,31,Degrees Fahrenheit,81.5375,29,35.438035,-119.016787,Knots,2.9375,California,Kern,Oildale
232.2021-06-14,Micrograms/cubic meter (25 C),53,49,Degrees Fahrenheit,80.141667,29,35.438035,-119.016787,Knots,3.020833,California,Kern,Oildale
232.2021-06-15,Micrograms/cubic meter (25 C),50,46,Degrees Fahrenheit,77.304167,29,35.438035,-119.016787,Knots,2.129167,California,Kern,Oildale
232.2021-06-16,Micrograms/cubic meter (25 C),66,56,Degrees Fahrenheit,83.025,29,35.438035,-119.016787,Knots,1.708333,California,Kern,Oildale
232.2021-06-17,Micrograms/cubic meter (25 C),83,65,Degrees Fahrenheit,89.316667,29,35.438035,-119.016787,Knots,1.854167,California,Kern,Oildale
232.2021-06-18,Micrograms/cubic meter (25 C),75,61,Degrees Fahrenheit,96.129167,29,35.438035,-119.016787,Knots,2.195833,California,Kern,Oildale
